idx,concentration_level,day,lot,group_id,T_ambient,RH,C_f0,true_I_900,alpha_group,beta_group
0,0,0,0,0,32.836796,47.681767,0,23.36484,18.83886,23.36484
1,0,0,0,0,31.543903,49.665009,0,23.36484,18.83886,23.36484
2,0,0,0,0,32.301643,47.35677,0,23.36484,18.83886,23.36484
3,0.5,0,0,0,32.664745,46.833641,1.3440861,30.07522,18.83886,23.36484
4,0.5,0,0,0,31.634554,49.073448,1.3440861,30.071543,18.83886,23.36484
5,0.5,0,0,0,32.340939,43.504787,1.3440861,30.074083,18.83886,23.36484
6,1,0,0,0,31.76791,47.632229,2.6881721,36.778614,18.83886,23.36484
7,1,0,0,0,31.557083,46.786606,2.6881721,36.777069,18.83886,23.36484
8,1,0,0,0,32.097507,44.792522,2.6881721,36.781002,18.83886,23.36484
9,2,0,0,0,32.381264,49.46291,5.3763442,50.198795,18.83886,23.36484
10,2,0,0,0,31.779108,47.229313,5.3763442,50.190052,18.83886,23.36484
11,2,0,0,0,32.084385,47.8148,5.3763442,50.194511,18.83886,23.36484
12,5,0,0,0,32.247749,47.872009,13.44086,90.424683,18.83886,23.36484
13,5,0,0,0,32.846981,48.135868,13.44086,90.446617,18.83886,23.36484
14,5,0,0,0,32.995247,49.672199,13.44086,90.451958,18.83886,23.36484
15,0,1,1,1,30.883333,54.819561,0,25.102619,20.584545,25.102619
16,0,1,1,1,31.365286,56.040314,0,25.102619,20.584545,25.102619
17,0,1,1,1,31.182798,59.940765,0,25.102619,20.584545,25.102619
18,0.5,1,1,1,31.694017,52.435783,1.3440861,32.47625,20.584545,25.102619
19,0.5,1,1,1,31.916637,56.117054,1.3440861,32.476711,20.584545,25.102619
20,0.5,1,1,1,31.789438,57.570709,1.3440861,32.476448,20.584545,25.102619
21,1,1,1,1,31.972527,56.236416,2.6881721,39.850765,20.584545,25.102619
22,1,1,1,1,30.914877,55.038101,2.6881721,39.84631,20.584545,25.102619
23,1,1,1,1,31.573261,53.902897,2.6881721,39.849106,20.584545,25.102619
24,2,1,1,1,30.798351,55.860462,5.3763442,54.587803,20.584545,25.102619
25,2,1,1,1,30.866283,55.110344,5.3763442,54.588394,20.584545,25.102619
26,2,1,1,1,31.47467,55.256836,5.3763442,54.593609,20.584545,25.102619
27,5,1,1,1,31.971241,57.541767,13.44086,98.830948,20.584545,25.102619
28,5,1,1,1,31.200037,54.211952,13.44086,98.814262,20.584545,25.102619
29,5,1,1,1,32.057541,55.905308,13.44086,98.832787,20.584545,25.102619
30,0,2,2,2,28.255888,59.389282,0,25.366795,19.935452,25.366795
31,0,2,2,2,29.213482,59.998062,0,25.366795,19.935452,25.366795
32,0,2,2,2,28.741312,59.905434,0,25.366795,19.935452,25.366795
33,0.5,2,2,2,28.386,60.147213,1.3440861,32.484451,19.935452,25.366795
34,0.5,2,2,2,28.652721,56.137947,1.3440861,32.485241,19.935452,25.366795
35,0.5,2,2,2,29.248287,58.824364,1.3440861,32.486965,19.935452,25.366795
36,1,2,2,2,29.043322,61.53162,2.6881721,39.605518,19.935452,25.366795
37,1,2,2,2,27.735109,58.969696,2.6881721,39.597717,19.935452,25.366795
38,1,2,2,2,28.064289,60.303692,2.6881721,39.59972,19.935452,25.366795
39,2,2,2,2,28.54965,57.071487,5.3763442,53.836567,19.935452,25.366795
40,2,2,2,2,27.926876,59.041809,5.3763442,53.829021,19.935452,25.366795
41,2,2,2,2,28.714903,56.777752,5.3763442,53.838535,19.935452,25.366795
42,5,2,2,2,29.213943,58.556522,13.44086,96.545509,19.935452,25.366795
